Round,Selected Clients
0,1|0|4
1,8|1|6
2,9|0|3
3,7|4|0
4,4|2|3
5,1|5|8
6,8|1|6
7,5|3|1
8,1|3|9
9,2|5|8
10,1|2|3
11,8|3|5
12,0|5|6
13,5|3|7
14,4|2|3
15,6|9|5
16,1|0|9
17,9|1|6
18,8|0|1
19,5|1|4
20,4|8|2
21,8|3|2
22,8|0|5
23,4|3|0
24,7|1|2
25,4|8|6
26,3|4|6
27,8|7|1
28,8|3|9
29,1|0|5
30,3|8|2
31,3|7|6
32,6|9|7
33,1|0|6
34,3|9|7
35,1|7|9
36,1|3|2
37,0|2|6
38,7|4|6
39,7|2|3
40,8|0|5
41,8|2|0
42,9|1|3
43,9|0|1
44,4|3|5
45,4|7|5
46,9|1|8
47,5|1|3
48,4|8|0
49,1|2|4
50,4|9|3
51,4|8|7
52,6|4|0
53,4|2|7
54,1|2|0
55,2|0|4
56,0|5|3
57,8|6|2
58,2|6|0
59,6|3|4
60,0|7|3
61,3|9|0
62,1|4|5
63,8|5|0
64,4|0|1
65,6|8|1
66,6|0|3
67,5|9|1
68,6|5|9
69,6|2|4
70,3|6|5
71,7|2|1
72,1|3|4
73,3|7|1
74,6|7|9
75,1|6|3
76,0|8|3
77,7|8|5
78,8|6|7
79,4|3|9
80,4|7|1
81,8|1|2
82,3|1|6
83,3|6|8
84,9|6|7
85,6|8|3
86,6|5|9
87,9|8|0
88,1|6|2
89,5|3|7
90,6|4|1
91,5|3|1
92,3|9|0
93,1|3|7
94,9|1|2
95,4|6|8
96,3|1|4
97,9|0|5
98,5|0|6
99,7|2|6
100,9|8|7
101,5|3|1
102,9|6|5
103,3|5|4
104,4|8|0
105,6|7|3
106,0|1|4
107,9|5|7
108,8|5|9
109,1|3|5
110,2|3|8
111,8|4|1
112,4|0|2
113,2|7|1
114,7|5|2
115,1|9|6
116,2|9|4
117,6|3|9
118,6|4|0
119,3|9|4
120,1|2|0
121,0|3|4
122,3|4|9
123,4|2|1
124,9|4|7
125,4|8|7
126,5|4|0
127,9|0|4
128,8|7|4
129,7|1|9
130,2|5|6
131,8|0|7
132,6|8|0
133,3|8|5
134,0|3|4
135,7|1|0
136,2|4|0
137,1|7|9
138,4|8|9
139,7|8|2
140,2|1|4
141,8|4|0
142,7|2|9
143,8|6|7
144,3|6|9
145,7|6|8
146,2|7|0
147,1|7|9
148,6|2|1
149,6|1|5
150,5|7|0
151,4|3|1
152,1|7|2
153,0|4|5
154,9|2|8
155,3|7|2
156,0|7|4
157,5|4|6
158,6|7|1
159,4|0|6
160,0|7|4
161,3|9|4
162,2|1|0
163,2|1|4
164,8|5|4
165,7|4|5
166,3|6|5
167,1|7|5
168,5|1|3
169,5|3|1
170,6|1|2
171,1|9|3
172,8|6|2
173,9|6|4
174,3|5|1
175,5|0|6
176,7|1|3
177,5|3|2
178,8|3|9
179,9|0|4
180,4|2|1
181,3|5|0
182,8|1|9
183,1|7|3
184,8|4|7
185,6|9|1
186,1|5|2
187,8|5|6
188,9|6|1
189,8|3|6
190,7|6|8
191,4|5|2
192,1|9|6
193,8|0|5
194,6|0|4
195,3|2|7
196,5|1|4
197,9|8|0
198,0|2|4
199,0|2|8
